city,neighbourhood,latitude,longitude
São Paulo,Cidade Nova São Miguel,,
São Paulo,Cidade Patriarca,-23.5390931,-46.5039285
São Paulo,Cidade Popular,,
São Paulo,Cidade São Francisco,,
São Paulo,Cidade São Mateus,,
São Paulo,Cidade São Miguel,,
São Paulo,Cidade Satélite Santa Bárbara,,
São Paulo,Cidade Tiradentes,-23.5824973,-46.4092065
São Paulo,Cidade Vargas,-23.6493901,-46.6405523
São Paulo,Cipó do Meio,,
São Paulo,City América,-22.4446853,-49.1697659
São Paulo,Cohab Monet,-23.6478026,-46.7891447
São Paulo,Colônia,-23.1809923,-46.8533869
São Paulo,Condomínio Jequirituba,-23.750535550000002,-46.663521467568415
São Paulo,Conjunto City Jaraguá,,
São Paulo,Conjunto Habitacional Águia de Haia,,
São Paulo,Conjunto Habitacional Área E Carvalho,,
São Paulo,Conjunto Habitacional Barreira Grande,,
São Paulo,Conjunto Habitacional Barro Branco I,,
São Paulo,Conjunto Habitacional Barro Branco II,,
São Paulo,Conjunto Habitacional Brigadeiro Eduardo Gomes,,
São Paulo,Conjunto Habitacional Brigadeiro Faria Lima,,
São Paulo,Conjunto Habitacional Castro Alves,,
São Paulo,Conjunto Habitacional Fazenda do Carmo,,
São Paulo,Conjunto Habitacional Inácio Monteiro,,
São Paulo,Conjunto Habitacional Instituto Adventista,,
São Paulo,Conjunto Habitacional Jardim São Bento,,
São Paulo,Conjunto Habitacional Jova Rural,,
São Paulo,Conjunto Habitacional Juscelino Kubitschek,-23.5685404,-46.39709650450724
São Paulo,Conjunto Habitacional Marechal Mascarenhas Morais,,
São Paulo,Conjunto Habitacional Padre José de Anchieta,,
São Paulo,Conjunto Habitacional Padre Manoel da Nóbrega,-23.5454002,-46.4790104
São Paulo,Conjunto Habitacional Padre Manoel de Paiva,,
São Paulo,Conjunto Habitacional Parque Valo Velho Ii,,
São Paulo,Conjunto Habitacional Pirajussara,,
São Paulo,Conjunto Habitacional Recanto dos Humildes,,
São Paulo,Conjunto Habitacional Santa Etelvina II,,
São Paulo,Conjunto Habitacional Santa Etelvina III,,
São Paulo,Conjunto Habitacional Sítio Conceição,,
São Paulo,Conjunto Habitacional Teotônio Vilela,,
São Paulo,Conjunto Habitacional Turística,,
São Paulo,Conjunto Habitacional Vila Nova Cachoeirinha,,
São Paulo,Conjunto Promorar Estrada da Parada,,
São Paulo,Conjunto Promorar Raposo Tavares,-23.5869391,-46.7993803
São Paulo,Conjunto Promorar Rio Claro,,
São Paulo,Conjunto Promorar São Luís,,
São Paulo,Conjunto Promorar Sapopemba,,
São Paulo,Conjunto Promorar Vila Maria Iii,,
São Paulo,Conjunto Residencial Alpes do Jaraguá,,
São Paulo,Conjunto Residencial Butantã,-23.5764621,-46.72896234724704
São Paulo,Conjunto Residencial Elísio Teixeira Leite,,
São Paulo,Conjunto Residencial Ingai,,
São Paulo,Conjunto Residencial Jardim Canaã,,
São Paulo,Conjunto Residencial José Bonifácio,,
São Paulo,Conjunto Residencial Morada do Sol,,
São Paulo,Conjunto Residencial Novo Pacaembu,,
São Paulo,Conjunto Residencial Paraíso,,
São Paulo,Conjunto Residencial Prestes Maia,,
São Paulo,Conjunto Residencial Sabará - Campo Grande,,
São Paulo,Conjunto Residencial Salvador Tolezani,,
São Paulo,Conjunto Residencial Santa Terezinha,-23.313036750000002,-45.94544119498434
São Paulo,Conjunto Residencial Sítio Oratório,,
São Paulo,Conjunto Residencial Vista Verde,,
São Paulo,Consolação,-23.557818,-46.6605373
São Paulo,Copacabana,-23.6909871,-46.7716013
São Paulo,Cupecê,-23.68428345,-46.63527074166775
São Paulo,Cursino,-23.6323011,-46.61956290654779
São Paulo,Educandário,-21.16556695,-47.7861044144078
São Paulo,Eldorado,-24.522583,-48.1093489
São Paulo,Embura,-23.8803866,-46.741620488183095
São Paulo,Engenheiro Goulart,-23.5004492,-46.527816
São Paulo,Engenheiro Marsilac,-23.9073486,-46.7047132
São Paulo,Ermelino Matarazzo,-23.491673499999997,-46.48407014366894
São Paulo,Estância Jaraguá,-23.4498003,-46.7184122
São Paulo,Estância Mirim,-24.03054015,-46.49411166291803
São Paulo,Estância Tangará,,
São Paulo,Fazenda Aricanduva,-23.567272799999998,-46.478149575246434
São Paulo,Fazenda da Juta,-23.6118178,-46.4874695
São Paulo,Fazenda Itaim,-23.511957,-46.3739622
São Paulo,Fazenda Morumbi,-21.2484219,-49.5097972
São Paulo,Ferreira,-23.6076439,-46.7497326
São Paulo,Flor da Cantareira,,
São Paulo,Freguesia do Ó,-23.4874636,-46.6951317
São Paulo,Furnas,-23.3282761,-46.5631071
São Paulo,Gleba do Pêssego,,
São Paulo,Granja Julieta,-23.6275329,-46.7120009
São Paulo,Granja Nossa Senhora Aparecida,,
São Paulo,Guacuri,-23.700104000000003,-46.63740752055006
São Paulo,Guaianazes,-23.542331,-46.4157007
São Paulo,Guaiauna,-23.6509074,-46.5200669
São Paulo,Guapira,-23.4573682,-46.5887224
São Paulo,Guarapiranga,-21.9640116,-48.23584936111111
São Paulo,Higienópolis,-23.5489592,-46.6523049
São Paulo,Horto,-20.57500135,-47.86381681430592
São Paulo,Horto Florestal,-23.463321450000002,-46.63417338297819
São Paulo,Ibirapuera,-23.5769519,-46.6546353
São Paulo,Imirim,-23.4910951,-46.6470601
São Paulo,Indianópolis,-23.6074733,-46.6689274
São Paulo,Instituto de Previdência,,
São Paulo,Interlagos,-23.7019315,-46.69670781252424
São Paulo,Ipiranga,-23.58927255,-46.60616206667652
São Paulo,Itaberaba,-23.4865043,-46.691117054336566
São Paulo,Itaim Bibi,-23.5843807,-46.6784441
São Paulo,Itaim Paulista,-23.5017648,-46.3996091
São Paulo,Itaquera,-23.5360799,-46.4555099
São Paulo,Itupu,-23.6926868,-46.739434
São Paulo,Jabaquara,-23.6520656,-46.650037329076994
São Paulo,Jaçanã,-23.4639591,-46.5824232
São Paulo,Jaguare,-23.5420355,-46.74949925025804
São Paulo,Jaraguá,-23.446592000000003,-46.73617751601424
